Forecast_Date,538's Projection of Biden's EV,Economist's Projection of Biden's EV,Average_Projected_EV
2020-10-08,343.0071,350.0,346.50355
2020-10-07,342.6205,346.0,344.31025
2020-10-06,338.6649,341.0,339.83245
2020-10-05,335.744,341.0,338.372
2020-10-04,334.744,339.0,336.872
2020-10-03,332.7776,335.0,333.8888
2020-10-02,332.9893,335.0,333.99465
2020-10-01,335.4009,339.0,337.20045
2020-09-30,331.7138,337.0,334.3569
2020-09-29,331.0672,334.0,332.5336
2020-09-28,330.2105,332.0,331.10525
2020-09-27,331.3619,331.0,331.18095
2020-09-26,330.824,334.0,332.41200000000003
2020-09-25,330.4502,333.0,331.7251
2020-09-24,329.9864,330.0,329.9932
2020-09-23,331.6738,334.0,332.8369
2020-09-22,332.0203,334.0,333.01015
2020-09-21,331.6522,334.0,332.8261
2020-09-20,330.5893,335.0,332.79465
2020-09-19,330.6043,334.0,332.30215
2020-09-18,330.251,336.0,333.1255
2020-09-17,328.0115,335.0,331.50575000000003
2020-09-16,329.0998,335.0,332.0499
2020-09-15,329.61,334.0,331.805
2020-09-14,329.0644,334.0,331.5322
2020-09-13,329.4047,333.0,331.20235
2020-09-12,328.67199999999997,333.0,330.836
2020-09-11,330.0929,334.0,332.04645
2020-09-10,327.8786,334.0,330.9393
2020-09-09,327.1287,335.0,331.06435
2020-09-08,321.2776,333.0,327.1388
2020-09-07,321.0423,334.0,327.52115000000003
2020-09-06,321.1162,334.0,327.55809999999997
2020-09-05,319.9235,334.0,326.96175
2020-09-04,320.9097,334.0,327.45484999999996
2020-09-03,319.1343,334.0,326.56714999999997
2020-09-02,319.1021,335.0,327.05105000000003
2020-09-01,315.3092,333.0,324.15459999999996
2020-08-31,312.938,337.0,324.969
2020-08-30,316.1126,337.0,326.55629999999996
2020-08-29,317.2131,337.0,327.10654999999997
2020-08-28,317.5361,341.0,329.26805
2020-08-27,317.6086,342.0,329.8043
2020-08-26,317.1448,350.0,333.5724
2020-08-25,324.0612,345.0,334.5306
2020-08-24,324.2517,347.0,335.62585
2020-08-23,325.4708,340.0,332.7354
2020-08-22,324.6079,339.0,331.80395
2020-08-21,324.9449,339.0,331.97245
2020-08-20,322.9554,337.0,329.9777
2020-08-19,321.6516,337.0,329.32579999999996
2020-08-18,323.2832,335.0,329.14160000000004
2020-08-17,322.7271,335.0,328.86355000000003
2020-08-16,322.4463,339.0,330.72315000000003
2020-08-15,324.7491,341.0,332.87455
2020-08-14,326.3919,342.0,334.19595000000004
2020-08-13,324.2502,340.0,332.1251
2020-08-12,322.8088,342.0,332.4044
2020-08-11,323.0502,340.0,331.5251
2020-08-10,323.4573,342.0,332.72865
2020-08-09,322.3089,344.0,333.15445
2020-08-08,321.9173,347.0,334.45865000000003
2020-08-07,320.8368,347.0,333.9184
2020-08-06,321.1793,347.0,334.08965
2020-08-05,320.485,343.0,331.7425
2020-08-04,325.9403,343.0,334.47015
2020-08-03,325.0386,343.0,334.0193
2020-08-02,324.9395,346.0,335.46975
2020-08-01,325.2362,343.0,334.1181
2020-07-31,324.4243,343.0,333.71215
2020-07-30,329.5762,343.0,336.2881
2020-07-29,328.96,342.0,335.48
2020-07-28,330.8674,343.0,336.9337
2020-07-27,329.3023,341.0,335.15115000000003
2020-07-26,329.6984,343.0,336.3492
2020-07-25,328.9527,343.0,335.97635
2020-07-24,328.2244,346.0,337.11220000000003
2020-07-23,330.1903,347.0,338.59515
2020-07-22,331.4298,344.0,337.7149
2020-07-21,329.6766,347.0,338.3383
2020-07-20,332.418,347.0,339.709
2020-07-19,331.1844,351.0,341.0922
2020-07-18,330.8307,352.0,341.41535
2020-07-17,331.3426,352.0,341.6713
2020-07-16,332.1587,352.0,342.07935
2020-07-15,335.1772,352.0,343.58860000000004
2020-07-14,332.9167,350.0,341.45835
2020-07-13,333.2055,342.0,337.60275
2020-07-12,331.5857,344.0,337.79285
2020-07-11,329.4546,344.0,336.7273
2020-07-10,330.5589,343.0,336.77945
2020-07-09,329.9499,339.0,334.47495000000004
2020-07-08,331.1682,339.0,335.08410000000003
2020-07-07,331.1515,341.0,336.07574999999997
2020-07-06,326.9659,341.0,333.98294999999996
2020-07-05,335.2299,341.0,338.11495
2020-07-04,334.8585,341.0,337.92925
2020-07-03,336.0297,342.5,339.26485
2020-07-02,335.0142,343.0,339.00710000000004
2020-07-01,335.9876,347.0,341.49379999999996
2020-06-30,335.7904,343.0,339.3952
2020-06-29,341.17199999999997,343.0,342.086
2020-06-28,341.7944,341.0,341.3972
2020-06-27,341.7366,343.0,342.3683
2020-06-26,342.5405,343.0,342.77025000000003
2020-06-25,339.7228,343.0,341.3614
2020-06-24,341.4927,341.0,341.24635
2020-06-23,340.23900000000003,343.0,341.6195
2020-06-22,339.9633,343.0,341.48165
2020-06-21,338.8086,347.0,342.90430000000003
2020-06-20,338.4977,348.0,343.24885
2020-06-19,337.4355,346.0,341.71775
2020-06-18,336.2005,346.0,341.10024999999996
2020-06-17,335.9355,349.0,342.46775
2020-06-16,334.5107,347.0,340.75535
2020-06-15,332.9862,345.0,338.9931
2020-06-14,336.005,343.0,339.5025
2020-06-13,334.6525,342.0,338.32624999999996
2020-06-12,334.07599999999996,343.0,338.538
2020-06-11,333.5842,343.0,338.2921
2020-06-10,326.6442,340.0,333.3221
2020-06-09,324.3535,339.0,331.67674999999997
2020-06-08,321.8693,335.0,328.43465000000003
2020-06-07,321.512,334.0,327.756
2020-06-06,320.7869,329.0,324.89345000000003
2020-06-05,319.7408,328.0,323.8704
2020-06-04,324.3054,328.0,326.1527
2020-06-03,323.4219,330.0,326.71095
2020-06-02,323.976,331.0,327.488
2020-06-01,322.9987,332.0,327.49935
