Forecast_Date,Trump's EV Forecast (538),Trump's EV Forecast (Economist),Average_Projected_EV,Trump's Chance of Winning (538),Trump's Chance of Winning (Economist),Average_Chance_of_Winning (%)
2020-10-19,190.33599999999998,188.0,189.168,0.120425,0.073,9.67125
2020-10-18,191.2572,198.0,194.6286,0.121775,0.094,10.78875
2020-10-17,191.3031,197.0,194.15155,0.12235,0.08900000000000001,10.5675
2020-10-16,192.213,195.0,193.60649999999998,0.129225,0.087,10.81125
2020-10-15,192.0065,195.0,193.50324999999998,0.1295,0.086,10.775
2020-10-14,192.1605,193.0,192.58025,0.130775,0.085,10.78875
2020-10-13,191.7341,195.0,193.36705,0.129775,0.085,10.73875
2020-10-12,191.9522,193.0,192.4761,0.134325,0.09,11.21625
2020-10-11,192.5051,191.0,191.75254999999999,0.137725,0.087,11.236249999999998
2020-10-10,193.7852,188.0,190.89260000000002,0.144425,0.079,11.171249999999999
2020-10-09,194.4416,188.0,191.2208,0.147025,0.079,11.30125
2020-10-08,194.9928,188.0,191.4964,0.151625,0.077,11.43125
2020-10-07,195.3795,192.0,193.68975,0.15645,0.091,12.3725
2020-10-06,199.3351,197.0,198.16755,0.17175,0.09699999999999999,13.4375
2020-10-05,202.25599999999997,197.0,199.628,0.180725,0.102,14.13625
2020-10-04,203.25599999999997,199.0,201.128,0.18655,0.11,14.827499999999999
2020-10-03,205.2224,203.0,204.1112,0.19425,0.126,16.012500000000003
2020-10-02,205.0107,203.0,204.00535000000002,0.201875,0.129,16.543750000000003
2020-10-01,202.5991,199.0,200.79955,0.196175,0.10400000000000001,15.00875
2020-09-30,206.2862,201.0,203.6431,0.213425,0.11800000000000001,16.571250000000003
2020-09-29,206.9328,204.0,205.4664,0.216025,0.13,17.301250000000003
2020-09-28,207.7895,206.0,206.89475,0.2196,0.14300000000000002,18.130000000000003
2020-09-27,206.6381,207.0,206.81905,0.2197,0.146,18.285
2020-09-26,207.176,204.0,205.588,0.225325,0.14300000000000002,18.41625
2020-09-25,207.5498,205.0,206.2749,0.2281,0.141,18.455
2020-09-24,208.0136,208.0,208.0068,0.229275,0.146,18.76375
2020-09-23,206.3262,204.0,205.1631,0.22235,0.142,18.217499999999998
2020-09-22,205.9798,204.0,204.9899,0.226,0.14400000000000002,18.5
2020-09-21,206.3478,204.0,205.1739,0.22535,0.139,18.2175
2020-09-20,207.4107,203.0,205.20535,0.225775,0.131,17.83875
2020-09-19,207.3957,204.0,205.69785000000002,0.223425,0.135,17.92125
2020-09-18,207.7489,202.0,204.87445,0.22725,0.126,17.6625
2020-09-17,209.9885,203.0,206.49425,0.2368,0.136,18.64
2020-09-16,208.9003,203.0,205.95015,0.233525,0.133,18.326249999999998
2020-09-15,208.39,204.0,206.195,0.23765,0.154,19.5825
2020-09-14,208.9357,204.0,206.46785,0.239225,0.152,19.56125
